DATE,Y,I,C,L,K
1993Q1,-0.005495537,-0.009071175,-0.004604685,0.000368646,-0.016387947
1993Q2,-0.004817373,-0.012542951,-0.00362601,0.003580313,-0.012929977
1993Q3,-0.006812898,-0.033503577,-0.002453961,0.00123211,-0.018193774
1993Q4,-0.003409386,-0.015120594,-0.001076457,0.002811027,0.003277076
1994Q1,0.004017714,0.011608252,0.003261582,0.002319638,-0.007657327
1994Q2,0.012566098,0.042977459,0.007585311,0.012549269,-0.000415256
1994Q3,0.003616533,0.011380958,0.003275599,0.009416284,-6.79E-05
1994Q4,0.008885481,0.040083847,0.004415806,0.012057635,0.000734867
1995Q1,0.00511097,0.037275481,5.93E-06,0.008953632,0.010114981
1995Q2,-0.000409934,0.002087361,-0.000527936,-0.005122514,-0.008157859
1995Q3,-0.006253334,-0.024110049,-0.002708071,-0.005312458,-0.020274795
1995Q4,-0.009468817,-0.03519452,-0.004347806,-0.00799892,-0.022352344
1996Q1,-0.008917315,-0.036566247,-0.003251347,-0.018471948,-0.012731081
1996Q2,-0.000196484,-0.012918464,0.002459611,-0.001807982,-0.002158072
1996Q3,-0.004231545,0.003486776,-0.004821417,0.000494254,0.000968893
1996Q4,-0.008849953,-0.00821595,-0.007961184,0.00217165,-0.003574553
1997Q1,-0.008024198,-0.001164117,-0.008799276,0.00451412,-0.007277354
1997Q2,-0.00820969,0.025823274,-0.014816118,0.007216297,-0.01074777
1997Q3,-0.004737366,0.023380578,-0.0102712,0.00534597,0.000110768
1997Q4,-0.006303042,0.002045822,-0.008058428,0.009066121,-0.011268116
1998Q1,-0.001023316,0.028880462,-0.007105996,0.006875421,-0.002949631
1998Q2,0.004267692,0.001123075,0.004634753,-0.000583285,0.014120479
1998Q3,0.004489394,0.010022371,0.00374227,-0.000502828,0.02054237
1998Q4,0.010404299,0.03089845,0.006710242,0.00300313,0.023335192
1999Q1,0.013405765,0.04722598,0.006403785,0.002350051,0.029303144
1999Q2,0.014905634,0.033954636,0.010779393,0.003657752,0.033196344
1999Q3,0.015293018,0.040499887,0.00976744,0.005971295,0.038034602
1999Q4,0.020922677,0.045267538,0.015225157,0.005008871,0.035272059
2000Q1,0.013392434,0.026203156,0.010488432,0.008452111,0.037947182
2000Q2,0.02647887,0.077236315,0.014740719,0.00814707,0.04365186
2000Q3,0.019825327,0.058876594,0.011530481,0.00482492,0.037428964
2000Q4,0.018700026,0.059142576,0.010449881,-0.000899811,0.032301833
2001Q1,0.006123516,0.005158936,0.006494827,-0.006980658,0.026145637
2001Q2,-0.000480794,0.000981004,-0.000853364,-0.009628152,0.012308199
2001Q3,-0.011187976,-0.026325439,-0.008089439,-0.009764263,-0.012063527
2001Q4,-0.016262215,-0.098772599,0.000271873,-0.015959851,-0.029644365
2002Q1,-0.015496293,-0.069379759,-0.004326307,-0.0104294,-0.038635909
2002Q2,-0.013347057,-0.067978955,-0.002298185,-0.000724177,-0.04392094
2002Q3,-0.019457103,-0.07875532,-0.006675332,-0.004928908,-0.047977812
2002Q4,-0.022366643,-0.078706251,-0.009891595,-0.005125583,-0.056684751
